"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"100","GTLM","John Edwards","6","1:25.459","13:10.877","Green","Track","1.732","0.490","4.047","25.689","19.573","14.538","8.522","10.868","135.436"
"4","GTLM","Oliver Gavin","6","1:26.653","13:13.603","Green","Track","1.740","0.498","4.058","25.324","19.511","14.588","10.122","10.812","133.260"
"912","GTLM","Frederic Makowiecki","6","1:26.001","13:14.994","Green","Track","1.730","0.488","3.971","25.693","20.176","14.571","8.697","10.675","135.991"
"3","GTLM","Antonio Garcia","6","1:24.606","13:16.060","Green","Track","1.750","0.499","4.013","25.315","19.571","14.248","8.396","10.814","132.993"
"25","GTLM","Bill Auberlen","6","1:25.747","13:31.334","Green","Track","1.741","0.493","3.978","25.854","19.683","14.590","8.494","10.914","134.612"
"55","P","Tristan Nunez","4","1:24.023","13:32.136","Green","Track","1.619","0.461","4.248","25.419","19.163","14.719","8.264","10.130","143.956"
"67","GTLM","Richard Westbrook","6","1:24.459","13:36.894","Green","Track","1.739","0.494","4.088","25.321","19.429","14.260","8.425","10.703","134.339"
"31","P","Eric Curran","6","1:59.466","13:38.062","Green","Pit","1.623","0.464","3.843","25.205","19.092","14.582","9.971","44.686","143.025"
"911","GTLM","Patrick Pilet","5","1:32.146","13:40.572","Green","Track","2.408","3.184","5.845","25.595","19.858","15.972","8.662","10.622","20.843"
"0","P","Sean Rayhall","6","2:08.735","13:53.062","Green","Pit","1.580","0.456","3.770","24.936","18.798","14.239","10.068","54.888","145.534"
"5","P","Joao Barbosa","6","1:20.926","14:16.603","Green","Track","1.621","0.464","3.811","24.044","18.444","14.043","8.008","10.491","143.025"
"62","GTLM","Toni Vilander","6","1:33.708","14:25.320","Green","Track","2.395","3.458","6.711","26.789","20.357","14.638","8.522","10.838","19.191"
