"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"8","PC","Renger Van DerZande","70","1:22.534","1:43:52.308","Green","Track","1.635","0.466","3.895","24.728","18.899","14.134","8.302","10.475","142.411"
"85","PC","Stephen Simpson","70","1:22.977","1:44:01.994","Green","Track","1.650","0.471","3.892","24.911","19.083","14.001","8.426","10.543","140.899"
"38","PC","Kyle Marcelli","70","1:22.687","1:44:02.396","Green","Track","1.622","0.468","3.785","24.984","18.876","14.166","8.332","10.454","141.803"
"54","PC","Colin Braun","70","1:21.747","1:44:12.383","Green","Track","1.632","0.465","3.855","24.407","18.561","14.161","8.158","10.508","142.717"
"88","PC","Ashley Freiberg","68","1:25.591","1:44:16.578","Green","Track","1.628","0.466","4.020","25.817","19.526","14.859","8.601","10.674","142.411"
"97","GTD","Markus Palttala","67","1:27.959","1:44:33.809","Green","Track","1.761","0.507","4.030","26.447","20.291","14.871","8.922","11.130","130.895"
"23","GTD","Mario Farnbacher","68","1:27.284","1:44:36.723","Green","Track","1.745","0.500","4.034","26.373","20.017","14.977","8.690","10.948","132.727"
"63","GTD","Alessandro Balzan","68","1:27.436","1:44:38.977","Green","Track","1.728","0.492","4.045","26.345","20.105","14.950","8.819","10.952","134.885"
"80","GTD","Mike Skeen","67","1:29.020","1:44:41.050","Green","Track","1.724","0.489","4.022","26.997","20.429","15.265","8.936","11.158","135.713"
"20","PC","Johnny Mowlem","70","1:25.771","1:44:41.313","Green","Track","1.631","0.469","3.894","25.706","19.692","14.562","8.846","10.971","141.500"
"44","GTD","Andy Lally","67","1:29.271","1:44:41.888","Green","Track","1.777","0.504","4.064","26.868","20.410","14.962","9.037","11.649","131.674"
"96","GTD","Jens Klingmann","68","1:28.547","1:44:42.910","Green","Track","1.755","0.503","4.006","26.650","20.674","14.847","8.892","11.220","131.936"
"007","GTD","James Davison","68","1:28.059","1:44:51.267","Green","Track","1.731","0.492","4.033","26.670","20.215","14.970","8.891","11.057","134.885"
"6","GTD","Robin Liddell","68","1:27.989","1:44:55.676","Green","Track","1.776","0.502","4.079","26.525","20.358","14.887","8.775","11.087","132.198"
"33","GTD","Jeroen Bleekemolen","68","1:28.109","1:44:58.806","Green","Track","1.715","0.490","3.997","26.579","20.243","15.069","8.964","11.052","135.436"
"48","GTD","Bryan Sellers","68","1:28.114","1:45:01.158","Green","Track","1.757","0.502","4.067","26.588","20.274","14.924","8.862","11.140","132.198"
"22","GTD","Leh Keen","68","1:28.072","1:45:01.981","Green","Track","1.734","0.498","4.108","26.563","20.253","15.060","8.809","11.047","133.260"
