"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"97","GTD","Michael Marsal","10","1:52.171","23:50.429","Green","Track","26.017","16.830","13.264","15.837","11.165","0.510","22.901","5.425","0.222","160.428"
"23","GTD","Mario Farnbacher","11","1:47.549","23:52.897","Green","Track","21.567","15.744","14.410","15.732","11.273","0.518","22.625","5.457","0.223","157.950"
"6","GTD","Robin Liddell","11","1:48.243","23:58.275","Green","Track","21.448","15.820","12.776","15.628","11.271","0.513","25.117","5.448","0.222","159.490"
"63","GTD","Christina Nielsen","11","1:48.697","24:01.051","Green","Track","21.745","16.333","12.672","15.454","11.167","0.511","24.930","5.657","0.228","160.114"
"27","GTD","Lawrence DeGeorge","10","2:11.986","24:01.859","Green","Track","31.858","19.532","16.479","18.264","11.905","0.533","26.851","6.312","0.252","153.505"
"67","GTLM","Richard Westbrook","12","1:43.573","24:02.712","Green","Track","21.236","15.608","12.467","15.054","11.077","0.507","22.073","5.334","0.217","161.377"
"9","GTD","Lawson Aschenbach","10","6:04.506","24:08.509","Green","Pit","21.712","15.765","12.524","15.341","11.171","0.511","25.066","261.602","0.814","160.114"
"3","GTLM","Jan Magnussen","12","1:41.714","24:26.817","Green","Track","20.858","15.050","12.200","14.763","11.014","0.507","21.759","5.344","0.219","161.377"
"33","GTD","Ben Keating","11","4:17.988","24:51.204","Green","Pit","22.227","16.727","13.197","15.746","11.018","0.504","27.025","150.635","0.909","162.338"
"66","GTLM","Dirk Mueller","11","1:41.662","24:57.874","Green","Track","20.801","15.201","12.271","14.772","11.096","0.511","21.444","5.347","0.219","160.114"
"911","GTLM","Nick Tandy","12","1:43.041","25:03.062","Green","Track","21.370","15.358","12.308","14.832","11.106","0.510","21.993","5.345","0.219","160.428"
"4","GTLM","Tommy Milner","11","5:28.650","25:04.628","Green","Pit","21.447","15.321","12.313","15.027","11.072","0.508","24.856","227.229","0.877","161.059"
"100","GTLM","Lucas Luhr","13","1:42.721","25:06.486","Green","Track","20.952","15.374","12.236","14.878","11.044","0.508","22.165","5.344","0.220","161.059"
"912","GTLM","Frederic Makowiecki","11","1:42.450","25:12.688","Green","Track","21.000","15.158","12.333","15.048","11.090","0.510","21.747","5.346","0.218","160.428"
"80","GTD","Dan Knox","13","1:48.062","25:27.459","Green","Track","22.138","16.493","13.030","15.699","11.089","0.510","23.484","5.398","0.221","160.428"
"44","GTD","John Potter","12","1:46.540","25:35.667","Green","Track","21.839","16.067","12.898","15.450","11.265","0.516","22.835","5.447","0.223","158.562"
"97","GTD","Michael Marsal","11","1:46.347","25:36.776","Green","Track","21.845","15.999","12.906","15.717","11.189","0.512","22.572","5.386","0.221","159.801"
"23","GTD","Mario Farnbacher","12","1:45.289","25:38.186","Green","Track","21.652","15.774","12.619","15.270","11.223","0.517","22.580","5.430","0.224","158.256"
"48","GTD","Bryan Sellers","10","4:43.747","25:43.461","Green","Pit","21.943","16.147","12.969","15.319","11.420","0.550","25.772","178.778","0.849","148.760"
"63","GTD","Christina Nielsen","12","1:46.040","25:47.091","Green","Track","21.895","16.279","12.671","15.362","11.125","0.512","22.531","5.441","0.224","159.801"
"67","GTLM","Richard Westbrook","13","1:49.978","25:52.690","Green","Track","21.608","15.577","12.464","15.310","13.687","0.706","25.043","5.365","0.218","115.890"
"27","GTD","Lawrence DeGeorge","11","1:57.105","25:58.964","Green","Track","24.358","17.505","14.365","17.273","11.352","0.513","25.423","6.073","0.243","159.490"
"9","GTD","Lawson Aschenbach","11","1:53.960","26:02.469","Green","Track","25.677","18.898","13.798","15.650","11.237","0.514","22.558","5.408","0.220","159.179"
"16","GTD","Spencer Pumpelly","12","6:32.673","26:08.415","Green","Pit","22.481","15.961","13.149","15.521","11.008","0.500","25.388","287.729","0.936","163.636"
"3","GTLM","Jan Magnussen","13","1:41.775","26:08.592","Green","Track","20.868","15.085","12.168","14.874","11.001","0.505","21.742","5.313","0.219","162.016"
"62","GTLM","Toni Vilander","13","4:26.674","26:18.954","Green","Pit","21.799","16.042","13.214","15.813","11.211","0.538","27.755","159.418","0.884","152.078"
"911","GTLM","Nick Tandy","13","1:41.968","26:45.030","Green","Track","20.869","15.120","12.273","14.798","11.053","0.507","21.785","5.343","0.220","161.377"
"100","GTLM","Lucas Luhr","14","1:42.287","26:48.773","Green","Track","20.930","15.276","12.225","14.861","11.054","0.507","21.891","5.323","0.220","161.377"
"33","GTD","Ben Keating","12","2:00.308","26:51.512","Green","Track","26.778","19.664","13.305","17.182","13.338","0.568","23.897","5.356","0.220","144.046"
"25","GTLM","Dirk Werner","12","4:55.616","26:56.739","Green","Pit","20.971","18.390","12.652","14.938","10.951","0.505","25.289","191.050","0.870","162.016"
"912","GTLM","Frederic Makowiecki","12","1:44.964","26:57.652","Green","Track","20.866","15.688","12.832","15.777","11.160","0.511","22.589","5.324","0.217","160.114"
"4","GTLM","Tommy Milner","12","1:56.317","27:00.945","Green","Track","27.079","17.660","14.052","16.184","11.251","0.518","23.929","5.423","0.221","157.950"
"96","GTD","Bret Curtis","12","4:39.364","27:08.046","Green","Pit","21.993","16.424","12.917","15.864","11.214","0.512","26.238","173.356","0.846","159.801"
"80","GTD","Dan Knox","14","1:48.266","27:15.725","Green","Track","22.318","16.496","12.803","15.640","11.056","0.509","23.807","5.416","0.221","160.743"
"44","GTD","John Potter","13","1:46.274","27:21.941","Green","Track","21.689","15.964","12.840","15.497","11.242","0.515","22.834","5.470","0.223","158.870"
